id,created_at,dob,email,firstname,gender,lastname,taxvat,updated_at,year_partition,month_partition,day_partition,default_billing,region_code,country,default_shipping,change_password_required,child_qty,customer_status,is_subscribed,customer_child,cli_rn
524,2019-09-19 02:09:00,1982-12-15,joão.fulano@gmail.teste,João,2,Fulano,14758234782,2024-01-04 18:42:16,2024,09,25,true,PR,BR,true,0,0,1,false,,1
4578,2021-05-27 1854:27,2003-02-18,lívia._bel@microsoft.gmail,Lívia,1,Bela,95135745628,2024-07-19 09:20:18,2024,09,25,true,RJ,BR,true,0,0,1,true,,1
4578,2021-05-27 1854:27,2003-02-18,lívia._bel@microsoft.gmail,Lívia,1,Bela,95135745628,2024-07-19 09:20:18,2024,09,25,false,MR,BR,false,0,0,1,true,,2
10321,2021-06-12 00:53:00,1899-06-11,jajadidi@nestle.teste,Jaílson,2,Dias,12345678910,2021-07-04 18:14:32,2024,09,25,true,ES,BR,false,0,0,1,true,,1
10321,2021-06-12 00:53:00,1899-06-11,jajadidi@nestle.teste,Jaílson,2,Dias,12345678910,2021-07-04 18:14:32,2024,09,25,false,MS,BR,true,0,0,1,true,,2
20987,2020-06-12 08:09:00,1995-07-19,silze@nestle.teste,José,2,da Silva,0124563982,2022-01-04 15:03:16,2024,09,25,true,RS,BR,false,0,2,1,true,,1
20987,2020-06-12 08:09:00,1995-07-19,silze@nestle.teste,José,2,da Silva,0124563982,2022-01-04 15:03:16,2024,09,25,false,SC,BR,false,0,2,1,true,,2
31234,2022-03-24 16:18:00,1960-12-13,jmbel@nestle.teste,Maria,1,Beltrana,98732145601,2022-03-24 16:18:00,2024,09,25,true,BH,BR,false,0,0,1,true,,1
31234,2022-03-24 16:18:00,1960-12-13,jmbel@nestle.teste,Maria,1,Beltrana,98732145601,2022-03-24 16:18:00,2024,09,25,false,SP,BR,true,0,0,1,true,,2
68745,2018-01-22 10:30:27,1999-08-23,LeBert@bol.com,Levy,2,Berto,541023478,2023-12-2518:14:32,2024,09,25,false,AM,BR,true,0,0,1,true,,1
72478,2020-03-17 16:45:27,1986-11-15,vit.alex@yahoo.gmail,Alexandre,2,Vitolo,547254000125,2021-12-25 23:59:56,2024,09,25,true,MT,BR,true,0,1,1,false,,1
875482,2020_03-17 20:54:27,2006-10-18,aabrinks@aol.com,AAbraão,1,salvador,95135745628,2220-07-19 12:33:18,2024,09,25,true,MA,BR,true,0,0,1,true,,1
923547,2019-03-17 13:15:27,1989-09-31,Luisjapão@gmail.gmail,Luis,0,"",352476180,2021-11-18 22:33:56,2024,09,25,true,PA,BR,true,0,0,1,true,,1
923547,2019-03-17 13:15:27,1989-09-31,Luisjapão@gmail.gmail,Luis,0,"",352476180,2021-11-18 22:33:56,2024,09,25,true,PE,BR,true,0,0,1,true,,2
